Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Peyton Manning,DEN,QB,36,16,16,0,0,4659,37,583,6,0,23,0,0,311.0,11,2,2
Chris Johnson,TEN,RB,27,16,15,49,36,0,0,0,1243,6,276,232,0,211.5,0,5,4
Roddy White,ATL,WR,31,16,15,142,92,0,0,0,0,0,0,1351,7,269.1,0,1,0
Jimmy Graham,NOR,TE,26,15,9,135,85,0,0,0,0,0,0,982,9,237.2,0,1,0
Reggie Bush,MIA,RB,27,16,16,52,35,0,0,0,986,6,227,292,2,206.8,0,4,2
Matt Ryan,ATL,QB,27,16,16,0,0,4719,32,615,141,1,34,0,0,304.9,14,3,2
Wes Welker,NWE,WR,31,16,12,174,118,0,0,0,20,0,2,1354,6,289.4,0,3,1
Marques Colston,NOR,WR,29,16,13,130,83,0,0,0,0,0,0,1154,10,254.4,0,4,2
Shonn Greene,NYJ,RB,27,16,14,30,19,0,0,0,1063,8,276,151,0,186.4,0,4,1
Victor Cruz,NYG,WR,26,16,16,143,86,0,0,0,0,0,0,1092,10,255.2,0,0,0
Rob Gronkowski,NWE,TE,23,11,11,79,55,0,0,0,0,0,0,790,11,198.0,0,1,1
Michael Crabtree,SFO,WR,25,16,16,127,85,0,0,0,8,0,1,1105,9,250.3,0,0,0
Steven Jackson,STL,RB,29,16,16,53,38,0,0,0,1045,4,258,321,0,200.6,0,0,0
Tony Gonzalez,ATL,TE,36,16,16,124,93,0,0,0,0,0,0,930,8,234.0,0,0,0
Reggie Wayne,IND,WR,34,16,15,195,106,0,0,0,-5,0,1,1355,5,269.0,0,1,1
James Jones,GNB,WR,28,16,16,98,64,0,0,0,0,0,0,784,14,226.4,0,0,0
Randall Cobb,GNB,WR,22,15,8,104,80,0,0,0,132,0,10,954,8,240.6,0,4,1
Michael Turner,ATL,RB,30,16,16,30,19,0,0,0,800,10,222,128,1,175.8,0,3,1
Ahmad Bradshaw,NYG,RB,26,14,12,31,23,0,0,0,1015,6,221,245,0,179.0,0,3,3
Mike Williams,TAM,WR,25,16,16,126,63,28,0,1,0,0,0,996,9,217.7,0,0,0
Heath Miller,PIT,TE,30,15,15,101,71,0,0,0,0,0,0,816,8,202.6,0,0,0
BenJarvus Green-Ellis,CIN,RB,27,15,15,30,22,0,0,0,1094,6,278,104,0,173.8,0,3,2
Mikel Leshoure,DET,RB,22,14,14,49,34,0,0,0,798,9,215,214,0,183.2,0,3,3
LeSean McCoy,PHI,RB,24,12,12,67,54,0,0,0,840,2,200,373,3,199.3,0,4,3
Tony Romo,DAL,QB,32,16,16,1,1,4903,28,648,49,1,30,-1,0,279.9,19,6,3
Russell Wilson,SEA,QB,24,16,16,0,0,3118,26,393,489,4,94,0,0,277.6,10,6,3
Jason Witten,DAL,TE,30,16,16,147,110,0,0,0,0,0,0,1039,3,231.9,0,0,0
Andrew Luck,IND,QB,23,16,16,0,0,4374,23,627,255,5,62,0,0,276.5,18,10,5
Matthew Stafford,DET,QB,24,16,16,1,1,4967,20,727,126,4,35,3,0,276.6,17,6,4
Darren Sproles,NOR,RB,29,13,6,104,75,0,0,0,244,1,48,667,7,216.1,0,0,0
Steve Smith Sr.,CAR,WR,33,16,16,137,73,0,0,0,27,0,3,1174,4,215.1,0,1,1
Lance Moore,NOR,WR,29,15,7,104,65,0,0,0,0,0,0,1041,6,205.1,0,0,0
Steve Johnson,BUF,WR,26,16,16,148,79,0,0,0,0,0,0,1046,6,217.6,0,1,1
Cecil Shorts,JAX,WR,25,14,9,105,55,0,0,0,-4,0,1,979,7,192.5,0,1,1
Greg Olsen,CAR,TE,27,16,16,104,69,0,0,0,0,0,0,843,5,183.3,0,0,0
T.Y. Hilton,IND,WR,23,15,1,90,50,0,0,1,29,0,5,861,7,187.0,0,1,0
Torrey Smith,BAL,WR,23,16,16,110,49,0,0,0,9,0,3,855,8,183.4,0,0,0
DeAngelo Williams,CAR,RB,29,16,10,20,13,0,0,0,737,5,173,187,2,143.4,0,2,2
Dennis Pitta,BAL,TE,27,16,5,94,61,0,0,0,0,0,0,669,7,169.9,0,0,0
Mike Wallace,PIT,WR,26,15,14,119,64,0,0,0,7,0,5,836,8,194.3,0,2,1
Owen Daniels,HOU,TE,30,15,14,104,62,0,0,0,0,0,0,716,6,169.6,0,0,0
Miles Austin,DAL,WR,28,16,15,119,66,0,0,0,0,0,0,943,6,194.3,0,1,1
Kyle Rudolph,MIN,TE,23,16,16,93,53,0,0,0,0,0,0,493,9,158.3,0,0,0
Brandon Myers,OAK,TE,27,16,16,105,79,0,0,0,0,0,0,806,4,183.6,0,0,0
Jeremy Maclin,PHI,WR,24,15,15,122,69,0,0,0,0,0,0,857,7,194.7,0,1,1
Jermaine Gresham,CIN,TE,24,16,15,94,64,0,0,0,0,0,0,737,5,165.7,0,2,1
Brandon Lloyd,NWE,WR,31,16,15,131,74,0,0,0,0,0,0,911,4,195.1,0,0,0
Justin Blackmon,JAX,WR,22,16,14,132,64,0,0,0,23,0,2,865,5,184.8,0,1,0
Andy Dalton,CIN,QB,25,16,16,0,0,3669,27,528,120,4,47,0,0,250.8,16,4,4
Tyler Clutts,HOU,,28,16,0,0,0,0,0,0,0,0,0,0,0,,0,,0
Jordy Nelson,GNB,WR,27,12,10,73,49,0,0,0,0,0,0,745,7,167.5,0,0,0
Danny Woodhead,NWE,RB,27,16,2,55,40,0,0,0,301,4,76,446,3,156.7,0,1,0
Josh Freeman,TAM,QB,24,16,16,0,0,4065,27,558,139,0,39,0,0,248.5,17,10,2
Joe Flacco,BAL,QB,27,16,16,0,0,3817,22,531,22,3,32,0,0,234.9,10,9,4
Eli Manning,NYG,QB,31,16,16,0,0,3948,26,536,30,0,20,0,0,232.9,15,5,1
Sam Bradford,STL,QB,25,16,16,0,0,3702,21,551,124,1,36,0,0,230.5,13,7,1
Matt Schaub,HOU,QB,31,16,16,1,1,4008,22,544,-9,0,21,-6,0,225.8,12,4,0
Carson Palmer,OAK,QB,33,15,15,0,0,4018,22,565,36,1,18,0,0,224.3,14,7,5
Ben Roethlisberger,PIT,QB,30,13,13,0,0,3265,26,449,92,0,26,0,0,223.8,8,6,3
Ryan Fitzpatrick,BUF,QB,30,16,16,0,0,3400,24,505,197,1,48,0,0,213.7,16,8,6
Philip Rivers,SDG,QB,31,16,16,1,0,3606,26,527,40,0,27,0,0,208.2,15,15,7
Christian Ponder,MIN,QB,24,16,16,1,1,2935,18,483,253,2,60,-15,0,194.2,12,7,5
Jay Cutler,CHI,QB,29,15,15,0,0,3033,19,434,233,0,41,0,0,184.6,14,8,4
Ryan Tannehill,MIA,QB,24,16,16,0,0,3294,12,484,211,2,49,0,0,182.9,13,9,4
Colin Kaepernick,SFO,QB,25,13,7,0,0,1814,10,218,415,5,63,0,0,174.1,3,9,2
Brandon Weeden,CLE,QB,29,15,15,1,0,3385,14,517,111,0,27,-9,0,165.6,17,6,1
Michael Vick,PHI,QB,32,10,10,0,0,2362,12,351,332,1,62,0,0,151.7,10,11,5
Jake Locker,TEN,QB,24,11,11,1,0,2176,10,314,291,1,41,0,0,132.1,11,4,4
Alex Smith,SFO,QB,28,10,9,0,0,1737,13,218,132,0,31,0,0,122.7,5,4,1
Anquan Boldin,BAL,WR,32,15,15,112,65,0,0,0,3,0,1,921,4,183.4,0,0,0
Sidney Rice,SEA,WR,26,16,16,82,50,25,0,2,6,0,2,748,7,168.4,0,0,0
Mark Sanchez,NYJ,QB,26,15,15,0,0,2883,13,453,28,0,22,0,0,118.1,18,14,8
Denarius Moore,OAK,WR,24,15,15,114,51,0,0,0,-5,0,1,741,7,166.6,0,3,0
Golden Tate,SEA,WR,24,15,15,68,45,23,1,1,20,0,3,688,7,160.7,0,1,1
Vick Ballard,IND,RB,22,16,12,27,17,0,0,0,814,2,211,152,1,131.6,0,3,0
Chad Henne,JAX,QB,27,10,6,0,1,2084,11,308,64,1,19,-6,0,114.2,11,4,2
Willis McGahee,DEN,RB,31,10,9,33,26,0,0,0,731,4,167,221,0,139.2,0,5,4
Brian Hartline,MIA,WR,26,16,15,131,74,0,0,0,0,0,0,1083,1,186.3,0,1,1
Malcom Floyd,SDG,WR,31,14,14,85,56,0,0,0,0,0,0,814,5,167.4,0,0,0
Darren McFadden,OAK,RB,25,12,12,63,42,0,0,0,707,2,216,258,1,152.5,0,2,2
DeMarco Murray,DAL,RB,24,10,10,42,35,0,0,0,663,4,161,251,0,146.4,0,3,2
Josh Gordon,CLE,WR,21,16,13,96,50,0,0,0,0,0,0,805,5,158.5,0,1,1
Andre Roberts,ARI,WR,24,15,15,114,64,0,0,0,29,0,4,759,5,172.8,0,1,0
Danario Alexander,SDG,WR,26,10,6,62,37,0,0,1,0,0,0,658,7,144.8,0,0,0
Antonio Brown,PIT,WR,24,13,10,106,66,0,0,2,24,0,7,787,5,171.1,1,4,2
Percy Harvin,MIN,WR,24,9,8,85,62,0,0,0,96,1,22,677,3,167.3,0,2,1
Santana Moss,WAS,WR,33,16,1,62,41,0,0,0,14,0,3,573,8,145.7,0,2,1
Joique Bell,DET,RB,26,16,0,68,52,0,0,0,414,3,82,485,0,155.9,0,2,2
Larry Fitzgerald,ARI,WR,29,16,16,156,71,0,0,0,0,0,0,798,4,174.8,0,0,0
Brandon Gibson,STL,WR,25,16,13,82,51,0,0,0,0,0,0,691,5,150.1,0,0,0
Nate Washington,TEN,WR,29,16,14,89,46,0,0,0,0,0,0,746,4,144.6,0,1,0
Ryan Mathews,SDG,RB,25,12,9,56,39,0,0,0,707,1,184,252,0,136.9,0,2,2
Donnie Avery,IND,WR,28,16,15,124,60,0,0,0,9,0,4,781,3,157.0,0,1,0
Andre Brown,NYG,RB,26,10,2,17,12,0,0,0,385,8,73,86,0,109.1,0,0,0
Jeremy Kerley,NYJ,WR,24,16,7,95,56,42,0,1,8,0,5,827,2,153.2,0,4,3
Dwayne Bowe,KAN,WR,28,13,12,114,59,0,0,0,0,0,0,801,3,155.1,0,1,1
Antonio Gates,SDG,TE,32,15,15,80,49,0,0,0,0,0,0,538,7,144.8,0,0,0
Brandon LaFell,CAR,WR,26,14,12,76,44,0,0,0,35,0,3,677,4,139.2,0,1,0
Pierre Thomas,NOR,RB,28,15,4,53,39,0,0,0,473,1,105,354,1,133.7,0,0,0
Blaine Gabbert,JAX,QB,23,10,10,0,0,1662,9,278,56,0,18,0,0,94.1,6,5,3
Pierre Garcon,WAS,WR,26,10,10,68,44,0,0,0,9,0,2,633,4,138.2,0,0,0
Martellus Bennett,NYG,TE,25,16,16,89,55,0,0,0,0,0,0,626,5,147.6,0,0,0
Mark Ingram,NOR,RB,23,16,5,10,6,0,0,0,602,5,156,29,0,99.1,0,0,0
Darrius Heyward-Bey,OAK,WR,25,15,14,80,41,0,0,0,16,0,2,606,5,133.2,0,0,0
Felix Jones,DAL,RB,25,16,7,36,25,0,0,0,402,3,111,262,2,117.4,0,2,2
Scott Chandler,BUF,TE,27,15,13,74,43,0,0,0,0,0,0,571,6,134.1,0,2,1
Chris Givens,STL,WR,23,15,12,80,42,0,0,0,12,0,3,698,3,133.0,0,0,0
Knowshon Moreno,DEN,RB,25,8,6,26,21,0,0,0,525,4,138,167,0,112.2,0,1,1
Greg Little,CLE,WR,23,16,16,94,53,0,0,0,15,0,2,647,4,143.2,0,0,0
Jacquizz Rodgers,ATL,RB,22,16,0,59,53,0,0,0,362,1,94,402,1,141.4,0,0,0
Hakeem Nicks,NYG,WR,24,13,11,100,53,0,0,0,0,0,0,692,3,140.2,0,0,0
Mike Tolbert,CAR,RB,27,16,5,39,27,0,0,0,183,7,54,268,0,114.1,0,0,0
Nick Foles,PHI,QB,23,7,6,0,0,1699,6,265,42,1,11,0,0,86.2,5,8,3
Vernon Davis,SFO,TE,28,16,16,61,41,0,0,0,0,0,0,548,5,125.8,0,0,0
Kevin Kolb,ARI,QB,28,6,5,0,0,1169,8,183,100,1,16,0,0,84.8,3,2,2
Kendall Wright,TEN,WR,23,15,5,104,64,0,0,0,4,0,1,626,4,149.0,0,1,1
Davone Bess,MIA,WR,27,13,13,104,61,0,0,0,0,0,0,778,1,144.8,0,1,0
Brandon Stokley,DEN,WR,36,15,9,58,45,0,0,0,0,0,0,544,5,129.4,0,0,0
Danny Amendola,STL,WR,27,11,8,101,63,0,0,0,8,0,2,666,3,146.4,0,3,2
Kenny Britt,TEN,WR,24,14,11,90,45,0,0,0,0,0,0,589,4,127.9,0,2,1
Marcel Reece,OAK,RB,27,16,14,73,52,0,0,0,271,0,59,496,1,134.7,0,2,0
Bilal Powell,NYJ,RB,24,14,2,36,17,0,0,0,437,4,110,140,0,98.7,0,0,0
Jonathan Dwyer,PIT,RB,23,13,6,25,18,0,0,0,623,2,156,106,0,98.9,0,2,2
DeSean Jackson,PHI,WR,26,11,11,87,45,0,0,0,-7,0,3,700,2,126.3,0,1,0
Fred Jackson,BUF,RB,31,10,8,42,34,0,0,0,437,3,115,217,1,115.4,0,5,4
Bryce Brown,PHI,RB,21,16,4,19,13,0,0,0,564,4,115,56,0,93.0,0,4,3
Andrew Hawkins,CIN,WR,26,14,2,80,51,0,0,0,30,0,6,533,4,131.3,0,1,0
Aaron Hernandez,NWE,TE,23,10,10,83,51,0,0,0,5,0,1,483,5,129.8,0,0,0
Matt Cassel,KAN,QB,30,9,8,0,0,1796,6,277,145,1,27,0,0,78.3,12,9,7
Lance Kendricks,STL,TE,24,16,14,64,42,0,0,0,0,0,0,519,4,119.9,0,1,0
Marcedes Lewis,JAX,TE,28,16,15,77,52,0,0,0,0,0,0,540,4,130.0,0,0,0
Michael Bush,CHI,RB,28,13,1,11,9,0,0,0,411,5,114,83,0,86.4,0,1,1
Jermichael Finley,GNB,TE,25,16,14,87,61,0,0,0,0,0,0,667,2,137.7,0,1,1
Matt Hasselbeck,TEN,QB,37,8,5,0,0,1367,7,221,38,0,13,0,0,76.5,5,3,1
Rod Streater,OAK,WR,24,16,2,74,39,0,0,0,0,0,0,584,3,115.4,0,1,1
Jared Cook,TEN,TE,25,13,5,73,44,0,0,0,0,0,0,523,4,118.3,0,1,1
Leonard Hankerson,WAS,WR,23,16,5,57,38,0,0,0,5,0,2,543,3,110.8,0,0,0
David Wilson,NYG,RB,21,16,2,9,4,0,0,0,358,4,71,34,1,77.2,0,1,1
Brent Celek,PHI,TE,27,15,14,88,57,0,0,0,0,0,0,684,1,129.4,0,1,1
Josh Morgan,WAS,WR,27,16,15,73,48,0,0,1,25,0,3,510,2,119.5,0,1,0
Dwayne Allen,IND,TE,22,16,16,66,45,0,0,0,5,0,3,521,3,115.6,0,1,0
Brandon Pettigrew,DET,TE,27,14,11,102,59,0,0,0,0,0,0,567,3,129.7,0,4,2
Isaac Redman,PIT,RB,28,14,5,23,19,0,0,0,410,2,110,244,0,90.4,0,3,3
LaRod Stephens-Howling,ARI,RB,25,14,5,30,17,0,0,0,356,4,110,106,0,87.2,0,0,0
Domenik Hixon,NYG,WR,28,13,3,59,39,0,0,0,0,0,0,567,2,107.7,0,0,0
Kevin Ogletree,DAL,WR,25,15,1,55,32,0,0,0,9,0,2,436,4,100.5,0,0,0
Dallas Clark,TAM,TE,33,16,7,75,47,0,0,0,0,0,0,435,4,114.5,0,0,0
Donald Jones,BUF,WR,25,12,10,67,41,0,0,0,0,0,0,443,4,109.3,0,1,0
Jacob Tamme,DEN,TE,27,16,8,85,52,0,0,0,0,0,0,555,2,119.5,0,0,0
Daniel Thomas,MIA,RB,25,12,0,22,15,0,0,0,325,4,91,156,0,83.1,0,3,2
Ben Watson,CLE,TE,32,16,14,82,49,0,0,0,0,0,0,501,3,117.1,0,1,0
Jackie Battle,SDG,RB,29,16,5,15,15,0,0,0,311,3,95,108,1,80.9,0,0,0
Joel Dreessen,DEN,TE,30,16,15,58,41,0,0,0,0,0,0,356,5,106.6,0,0,0
Michael Floyd,ARI,WR,23,16,3,86,45,0,0,0,0,0,0,562,2,111.2,0,1,1
Jason Avant,PHI,WR,29,14,6,76,53,0,0,0,0,0,0,648,0,117.8,0,1,0
Anthony Fasano,MIA,TE,28,16,16,69,41,0,0,0,0,0,0,332,5,106.2,0,0,0
Jacoby Jones,BAL,WR,28,16,3,55,30,0,0,0,6,0,1,406,1,95.2,0,2,0
Emmanuel Sanders,PIT,WR,25,16,7,75,44,0,0,0,4,0,1,626,1,109.0,0,3,2
Bernard Pierce,BAL,RB,21,16,0,11,7,0,0,0,532,1,108,47,0,70.9,0,0,0
Kevin Walter,HOU,WR,31,16,14,68,41,0,0,0,0,0,0,518,2,104.8,0,0,0
Titus Young,DET,WR,23,10,8,56,33,0,0,0,16,0,2,383,4,96.9,0,0,0
Maurice Jones-Drew,JAX,RB,27,6,5,18,14,0,0,0,414,1,86,86,1,76.0,0,2,0
Daryl Richardson,STL,RB,22,16,0,36,24,0,0,0,475,0,98,163,0,85.8,0,3,2
Shane Vereen,NWE,RB,23,13,1,13,8,0,0,0,251,3,62,149,1,70.0,0,1,1
Greg Jennings,GNB,WR,29,8,5,62,36,0,0,0,0,0,0,366,4,96.6,0,0,0
Randy Moss,SFO,WR,35,16,2,50,28,0,0,0,0,0,0,434,3,89.4,0,1,0
Jonathan Stewart,CAR,RB,25,9,6,23,17,0,0,0,336,1,93,157,1,78.3,0,2,0
Donald Brown,IND,RB,25,10,4,13,9,0,0,0,417,1,108,93,0,68.0,0,0,0
Ronnie Brown,SDG,RB,31,14,1,59,49,0,0,0,220,0,46,371,0,108.1,0,0,0
Alex Green,GNB,RB,24,12,4,30,18,0,0,0,464,0,135,125,0,76.9,0,1,0
Michael Jenkins,MIN,WR,30,16,8,72,40,0,0,0,0,0,0,449,2,96.9,0,0,0
Julian Edelman,NWE,WR,26,9,3,32,21,0,0,0,45,0,4,235,3,77.0,0,1,1
Zach Miller,SEA,TE,27,16,15,53,38,0,0,0,0,0,0,396,3,93.6,0,1,1
Joe Morgan,NOR,WR,24,14,5,21,10,0,0,0,1,0,1,379,3,66.0,0,0,0
Tony Scheffler,DET,TE,29,15,4,85,42,0,0,0,0,0,0,504,1,98.4,0,0,0
Doug Baldwin,SEA,WR,24,14,4,50,29,0,0,0,0,0,0,366,3,83.6,0,0,0
Alshon Jeffery,CHI,WR,22,10,6,48,24,0,0,0,0,0,0,367,3,78.7,0,0,0
Mario Manningham,SFO,WR,26,12,10,57,42,0,0,0,64,0,3,449,1,97.3,0,2,1
Tiquan Underwood,TAM,WR,25,14,3,55,28,0,0,0,1,0,1,425,2,82.6,0,0,0
Jeff Cumberland,NYJ,TE,25,15,12,53,29,0,0,0,0,0,0,359,3,82.9,0,0,0
Dexter McCluster,KAN,RB,23,16,6,77,52,0,0,0,70,0,12,452,1,106.2,0,2,2
Robert Turbin,SEA,RB,23,16,0,23,19,0,0,0,354,0,80,181,0,72.5,0,0,0
Beanie Wells,ARI,RB,24,8,7,1,1,0,0,0,234,5,88,24,0,54.8,0,1,1
Kendall Hunter,SFO,RB,24,11,0,12,9,0,0,0,371,2,72,60,0,62.1,0,1,1
Rashad Jennings,JAX,RB,27,10,6,26,19,0,0,0,283,2,101,130,0,72.3,0,3,1
Travis Benjamin,CLE,WR,23,14,3,37,18,0,0,0,66,0,6,298,2,70.4,0,1,1
James Casey,HOU,RB,28,16,9,45,34,0,0,0,6,0,1,330,3,85.6,0,0,0
Tony Moeaki,KAN,TE,25,15,14,56,33,0,0,0,0,0,0,453,1,84.3,0,0,0
Earl Bennett,CHI,WR,25,12,4,49,29,0,0,0,0,0,0,375,2,78.5,0,0,0
Austin Pettis,STL,WR,24,14,2,48,30,0,0,0,0,0,0,261,4,80.1,0,0,0
Delanie Walker,SFO,TE,28,16,4,39,21,0,0,0,0,0,0,344,3,71.4,0,1,1
Shaun Draughn,KAN,RB,25,16,0,30,24,0,0,0,233,2,59,158,0,73.1,0,2,1
Brad Smith,BUF,WR,29,15,2,22,14,0,0,1,116,1,14,152,2,62.8,1,1,0
Mike Goodson,OAK,RB,25,12,0,16,16,0,0,0,221,0,35,195,1,63.6,0,0,0
Rueben Randle,NYG,WR,21,16,1,32,19,0,0,0,0,0,0,298,3,66.8,0,1,0
Mohamed Sanu,CIN,QB,23,9,3,25,16,73,1,1,15,0,5,154,4,63.8,0,0,0
Justin Forsett,HOU,RB,27,16,0,5,3,0,0,0,374,1,63,38,0,50.2,0,0,0
Anthony McCoy,SEA,TE,25,16,5,28,18,0,0,0,0,0,0,291,3,65.1,0,0,0
Harry Douglas,ATL,WR,28,15,1,59,38,0,0,0,4,0,2,395,1,83.9,0,1,0
Louis Murphy,CAR,WR,25,16,5,61,25,0,0,0,3,0,1,336,1,70.9,0,1,0
Garrett Graham,HOU,RB,26,15,9,39,28,0,0,0,0,0,0,263,3,72.3,0,0,0
Dustin Keller,NYJ,TE,28,8,5,36,28,0,0,0,0,0,0,317,2,71.7,0,0,0
Brady Quinn,KAN,QB,28,10,8,1,0,1141,2,197,66,0,19,0,0,44.2,8,1,0
Jarius Wright,MIN,WR,23,7,1,36,22,0,0,0,11,0,2,310,2,66.1,0,0,0
Ryan Broyles,DET,WR,24,10,3,32,22,0,0,0,0,0,0,310,2,65.0,0,0,0
Nate Burleson,DET,WR,31,6,5,43,27,0,0,0,48,0,8,240,2,69.8,0,0,0
Riley Cooper,PHI,WR,25,11,5,47,23,0,0,0,0,0,0,248,3,65.8,0,0,0
Ronnie Hillman,DEN,RB,21,14,0,12,10,0,0,0,330,1,85,62,0,53.2,0,2,1
Stephen Hill,NYJ,WR,21,11,8,47,21,0,0,0,0,0,0,252,3,64.2,0,0,0
Aldrick Robinson,WAS,WR,24,15,2,19,11,0,0,0,14,0,1,237,3,54.1,0,0,0
Ben Tate,HOU,RB,24,11,0,11,11,0,0,0,279,2,65,49,0,53.8,0,1,1
Rob Housler,ARI,TE,24,15,9,68,45,0,0,0,0,0,0,417,0,86.7,0,0,0
Cedric Benson,GNB,RB,30,5,5,15,14,0,0,0,248,1,71,97,0,54.5,0,1,0
Brandon Bolden,NWE,RB,22,10,0,2,2,0,0,0,274,2,56,11,0,42.5,0,0,0
Coby Fleener,IND,TE,24,12,10,48,26,0,0,0,0,0,0,281,2,66.1,0,0,0
Montell Owens,JAX,RB,28,13,4,10,8,0,0,0,209,1,42,113,0,48.2,0,0,0
Cedric Peerman,CIN,RB,26,14,1,9,9,0,0,0,258,1,36,85,0,49.3,0,0,0
Jonathan Baldwin,KAN,WR,23,15,7,47,20,0,0,0,0,0,0,325,1,58.5,0,0,0
T.J. Graham,BUF,WR,23,15,11,58,31,0,0,0,5,0,1,322,1,69.7,0,0,0
Devery Henderson,NOR,WR,30,15,9,47,22,0,0,0,13,0,1,316,1,60.9,0,1,0
Peyton Hillis,KAN,RB,26,13,2,14,10,0,0,1,309,1,85,62,0,49.1,0,2,2
Chaz Schilens,NYJ,WR,27,15,6,41,28,0,0,0,0,0,0,289,2,66.9,0,1,1
Tom Crabtree,GNB,TE,27,14,6,12,8,0,0,0,0,0,0,203,3,46.3,0,0,0
Micheal Spurlock,2TM,WR,29,14,1,29,23,0,0,0,0,0,0,200,1,61.0,0,1,0
Logan Paulsen,WAS,TE,25,16,10,38,25,0,0,0,0,0,0,308,1,61.8,0,0,0
Dwayne Harris,DAL,WR,25,16,0,31,17,0,0,0,0,0,0,222,1,53.2,0,1,0
Lamar Miller,MIA,RB,21,13,1,8,6,0,0,0,250,1,51,45,0,41.5,0,0,0
Montario Hardesty,CLE,RB,25,13,1,5,2,0,0,0,271,1,65,16,0,36.7,0,2,0
Chris Ivory,NOR,RB,24,6,2,3,2,0,0,0,217,2,40,15,0,37.2,0,0,0
William Powell,ARI,RB,24,13,1,25,19,0,0,0,217,0,60,132,0,53.9,0,2,0
James Starks,GNB,RB,26,6,2,6,4,0,0,0,255,1,71,31,0,38.6,0,1,0
Toby Gerhart,MIN,RB,25,16,0,27,20,0,0,0,169,1,50,155,0,54.4,0,2,2
Craig Stevens,TEN,TE,28,15,15,33,23,0,0,0,0,0,0,275,1,56.5,0,2,0
Charles Clay,MIA,TE,23,14,9,33,18,0,0,0,0,0,0,212,2,51.2,0,0,0
Kirk Cousins,WAS,QB,24,3,1,0,0,466,4,48,22,0,3,0,0,32.8,3,1,0
Fred Davis,WAS,TE,26,7,7,31,24,0,0,0,1,0,1,325,0,56.6,0,0,0
Kellen Davis,CHI,TE,27,16,15,44,19,0,0,0,0,0,0,229,2,51.9,0,1,1
Kevin Smith,DET,RB,26,12,2,16,10,0,0,0,134,1,37,79,1,43.3,0,0,0
David Thomas,NOR,TE,29,15,7,17,11,0,0,0,0,0,0,86,4,43.6,0,0,0
Lance Ball,DEN,RB,27,15,0,12,7,0,0,0,158,1,42,61,1,38.9,0,1,1
