Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Adrian Peterson,MIN,RB,27,16,16,51,40,0,0,0,2097,12,348,217,1,347.4,0,4,2
Doug Martin,TAM,RB,23,16,16,70,49,0,0,0,1454,11,319,472,1,311.6,0,1,1
Arian Foster,HOU,RB,26,16,16,58,40,0,0,0,1424,15,351,217,2,302.1,0,3,2
Marshawn Lynch,SEA,RB,26,16,15,30,23,0,0,0,1590,11,315,196,1,269.6,0,5,2
Alfred Morris,WAS,RB,24,16,16,16,11,0,0,0,1613,13,335,77,0,252.0,0,4,3
Ray Rice,BAL,RB,25,16,16,83,61,0,0,0,1143,9,257,478,1,283.1,0,1,0
Calvin Johnson,DET,WR,27,16,16,204,122,0,0,0,0,0,0,1964,5,342.4,0,3,3
Brandon Marshall,CHI,WR,28,16,16,192,118,0,0,0,-2,0,1,1508,11,334.6,0,2,0
C.J. Spiller,BUF,RB,25,16,9,57,43,0,0,0,1244,6,207,459,2,255.3,0,3,3
Drew Brees,NOR,QB,33,16,16,0,0,5177,43,670,5,1,15,0,0,345.6,19,5,1
Aaron Rodgers,GNB,QB,29,16,16,1,1,4295,39,552,259,2,54,-1,0,344.6,8,5,4
Tom Brady,NWE,QB,35,16,16,0,0,4827,34,637,32,4,23,0,0,340.3,8,2,0
Dez Bryant,DAL,WR,24,16,14,138,92,0,0,0,-5,0,2,1382,12,299.7,0,5,2
Jamaal Charles,KAN,RB,26,16,15,49,35,0,0,0,1509,5,285,236,1,239.5,0,5,3
Trent Richardson,CLE,RB,22,15,15,70,51,0,0,0,950,11,267,367,1,254.7,0,3,0
Frank Gore,SFO,RB,29,16,16,36,28,0,0,0,1214,8,258,234,1,230.8,0,2,1
A.J. Green,CIN,WR,24,16,16,164,97,0,0,0,38,0,4,1350,11,299.8,0,2,1
Stevan Ridley,NWE,RB,23,16,12,14,6,0,0,0,1263,12,290,51,0,205.4,0,4,2
Demaryius Thomas,DEN,WR,25,16,16,143,94,0,0,0,0,0,0,1434,10,291.4,0,3,3
Cam Newton,CAR,QB,23,16,16,1,0,3869,19,485,741,8,127,6,0,323.5,12,10,3
Vincent Jackson,TAM,WR,29,16,16,147,72,0,0,0,0,0,0,1384,8,260.4,0,0,0
Robert Griffin III,WAS,QB,22,15,15,1,0,3200,20,393,815,7,120,0,0,317.5,5,12,2
Eric Decker,DEN,WR,25,16,15,122,85,0,0,0,0,0,0,1064,13,269.4,0,0,0
Andre Johnson,HOU,WR,31,16,16,162,112,0,0,0,0,0,0,1598,4,295.8,0,0,0
Julio Jones,ATL,WR,23,16,15,128,79,0,0,0,30,0,6,1198,10,261.8,0,0,0
Matt Forte,CHI,RB,27,15,15,59,44,0,0,0,1094,5,248,340,1,221.4,0,2,1
