Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Arian Foster,HOU,RB,24,16,13,84,66,0,0,0,1616,16,327,604,2,392.0,0,3,2
Adrian Peterson,MIN,RB,25,15,15,50,36,0,0,0,1298,12,283,341,1,275.9,0,1,1
Jamaal Charles,KAN,RB,24,16,6,64,45,0,0,0,1467,5,230,468,3,282.5,0,3,2
Peyton Hillis,CLE,RB,24,16,14,77,61,13,0,2,1177,11,270,477,2,294.9,0,8,5
Chris Johnson,TEN,RB,25,16,16,57,44,0,0,0,1364,11,316,245,1,272.9,0,3,2
Brandon Lloyd,DEN,WR,29,16,11,153,77,0,0,0,-18,0,1,1448,11,286.0,0,0,
Dwayne Bowe,KAN,WR,26,16,16,133,72,0,0,0,4,0,1,1162,15,278.6,0,1,
Darren McFadden,OAK,RB,23,13,13,61,47,0,0,1,1157,7,223,507,3,267.4,0,4,3
Roddy White,ATL,WR,29,16,16,179,115,0,0,0,3,0,1,1389,10,316.2,0,1,1
LeSean McCoy,PHI,RB,22,15,13,91,78,0,0,0,1080,7,207,592,2,297.2,0,2,1
Rashard Mendenhall,PIT,RB,23,16,16,34,23,0,0,0,1273,13,324,167,0,241.0,0,2,2
Michael Vick,PHI,QB,30,12,12,0,0,3018,21,372,676,9,100,0,0,310.3,6,11,3
Greg Jennings,GNB,WR,27,16,16,125,76,0,0,0,-1,0,1,1265,12,274.4,0,2,
Matt Forte,CHI,RB,25,16,16,70,51,0,0,0,1069,6,237,547,3,264.6,0,3,2
Ray Rice,BAL,RB,23,16,14,83,63,0,0,0,1220,5,307,556,1,276.6,0,0,
Michael Turner,ATL,RB,28,16,15,20,12,0,0,0,1371,12,334,85,0,225.6,0,2,2
Aaron Rodgers,GNB,QB,27,15,15,0,0,3922,28,475,356,4,64,0,0,304.5,11,4,1
Mike Wallace,PIT,WR,24,16,16,98,60,0,0,0,39,0,5,1257,10,249.6,0,1,
Calvin Johnson,DET,WR,25,15,15,137,77,0,0,0,32,0,4,1120,12,266.2,0,1,
Tom Brady,NWE,QB,33,16,16,0,0,3900,36,492,30,1,31,0,0,299.0,4,3,1
Maurice Jones-Drew,JAX,RB,25,14,14,44,34,0,0,1,1324,5,299,317,2,234.1,1,2,2
Steven Jackson,STL,RB,27,16,16,62,46,0,0,0,1241,6,330,383,0,242.4,0,1,1
Jason Witten,DAL,TE,28,16,16,128,94,0,0,0,0,0,0,1002,9,248.2,0,1,1
Ahmad Bradshaw,NYG,RB,24,16,11,58,47,0,0,0,1235,8,276,314,0,239.9,0,7,6
Peyton Manning,IND,QB,34,16,16,0,0,4700,33,679,18,0,18,0,0,285.8,17,3,1
Hakeem Nicks,NYG,WR,22,13,12,128,79,0,0,0,0,0,0,1052,11,250.2,0,1,
Andre Johnson,HOU,WR,29,13,13,138,86,0,0,0,10,0,2,1216,8,256.6,0,1,
Philip Rivers,SDG,QB,29,16,16,0,0,4710,30,541,52,0,29,0,0,281.6,13,7,4
Reggie Wayne,IND,WR,32,16,16,175,111,0,0,0,0,0,0,1355,6,280.5,0,1,1
BenJarvus Green-Ellis,NWE,RB,25,16,11,16,12,0,0,0,1008,13,229,85,0,199.3,0,0,
Steve Johnson,BUF,WR,24,16,13,141,82,0,0,0,0,0,0,1073,10,247.3,0,1,1
DeSean Jackson,PHI,WR,24,14,14,95,47,0,0,0,104,1,16,1056,6,209.0,0,4,1
Antonio Gates,SDG,TE,30,10,10,65,50,0,0,0,0,0,0,782,10,188.2,0,0,
Miles Austin,DAL,WR,26,16,16,119,69,0,0,0,93,1,7,1041,7,228.4,0,1,1
Mike Williams,TAM,WR,23,16,16,129,65,0,0,0,0,0,0,964,11,223.4,0,3,2
Jeremy Maclin,PHI,WR,22,16,16,115,70,0,0,0,36,0,3,964,10,228.0,0,1,1
Drew Brees,NOR,QB,31,16,16,1,1,4620,33,658,-3,0,18,7,0,270.2,22,9,2
Vernon Davis,SFO,TE,26,16,16,93,56,0,0,0,0,0,0,914,7,191.4,0,0,
Terrell Owens,CIN,WR,37,14,11,139,72,0,0,0,0,0,0,983,9,224.3,0,0,
Larry Fitzgerald,ARI,WR,27,16,15,173,90,0,0,0,0,0,0,1137,6,241.7,0,0,
Cedric Benson,CIN,RB,28,16,16,37,28,0,0,0,1111,7,321,178,1,196.9,0,7,5
Marcedes Lewis,JAX,TE,26,16,16,89,58,0,0,0,0,0,0,700,10,184.0,0,2,2
Josh Freeman,TAM,QB,22,16,16,0,0,3451,25,474,364,0,68,0,0,258.4,6,8,3
Mario Manningham,NYG,WR,24,16,8,93,60,0,0,0,2,0,1,944,9,206.6,0,1,1
LaDainian Tomlinson,NYJ,RB,31,15,13,79,52,0,0,0,914,6,219,368,0,216.2,0,4,
Marques Colston,NOR,WR,27,15,11,131,84,0,0,0,1,0,1,1023,7,228.4,0,0,
Santana Moss,WAS,WR,31,16,16,145,93,0,0,0,-6,0,5,1115,6,235.9,0,3,2
Knowshon Moreno,DEN,RB,23,13,13,48,37,0,0,0,779,5,182,372,3,196.1,0,3,2
Percy Harvin,MIN,WR,22,14,13,109,71,0,0,0,107,1,18,868,5,210.5,0,1,1
Matt Ryan,ATL,QB,25,16,16,0,0,3705,28,571,122,0,46,0,0,250.4,9,4,4
Mike Tolbert,SDG,RB,25,15,4,29,25,0,0,0,735,11,182,216,0,182.1,0,5,3
Frank Gore,SFO,RB,27,11,11,72,46,0,0,0,853,3,203,452,2,202.5,0,4,2
Matt Schaub,HOU,QB,29,16,16,0,0,4370,24,574,28,0,22,0,0,245.6,12,9,3
Rob Gronkowski,NWE,TE,21,16,11,59,42,0,0,0,0,0,0,546,10,154.6,0,1,1
Fred Jackson,BUF,RB,29,16,13,54,31,0,0,0,927,5,222,215,2,183.2,0,5,2
Braylon Edwards,NYJ,WR,27,16,15,101,53,0,0,0,4,0,1,904,7,185.8,0,1,1
Kenny Britt,TEN,WR,22,12,7,73,42,0,0,0,0,0,0,775,9,173.5,0,1,1
Wes Welker,NWE,WR,29,15,11,123,86,0,0,0,0,0,0,848,7,213.8,0,1,
Danny Woodhead,2TM,WR,25,15,3,44,34,0,0,0,547,5,97,379,1,160.6,0,1,1
Kellen Winslow,TAM,TE,27,16,11,98,66,0,0,0,0,0,0,730,5,169.0,0,1,
