Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Aaron Rodgers,GNB,QB,28,15,15,0,0,4643,45,502,257,3,60,0,0,397.4,6,4,
Drew Brees,NOR,QB,32,16,16,0,0,5476,46,657,86,1,21,0,0,393.6,14,1,1
Ray Rice,BAL,RB,24,16,16,104,76,1,1,1,1364,12,291,704,3,372.8,0,2,2
Calvin Johnson,DET,WR,26,16,16,158,96,0,0,0,11,0,1,1681,16,359.2,0,1,1
Cam Newton,CAR,QB,22,16,16,1,1,4051,21,517,706,14,126,27,0,370.3,17,5,2
Rob Gronkowski,NWE,TE,22,16,16,124,90,0,0,0,2,1,1,1327,17,330.9,0,0,
Tom Brady,NWE,QB,34,16,16,0,0,5235,39,611,109,3,43,0,0,366.3,12,6,2
LeSean McCoy,PHI,RB,23,15,15,69,48,0,0,0,1309,17,273,315,3,328.4,0,1,1
Matthew Stafford,DET,QB,23,16,16,0,0,5038,41,663,78,0,22,0,0,343.3,16,5,1
Maurice Jones-Drew,JAX,RB,26,16,16,64,43,0,0,0,1606,8,343,374,3,305.0,0,6,1
Arian Foster,HOU,RB,25,13,13,72,53,0,0,0,1224,10,278,617,2,305.1,0,5,2
Jordy Nelson,GNB,WR,26,16,9,96,68,0,0,0,0,0,0,1263,15,284.3,0,0,
Jimmy Graham,NOR,TE,25,16,11,149,99,0,0,0,0,0,0,1310,11,294.0,0,1,1
Wes Welker,NWE,WR,30,16,15,173,122,0,0,0,30,0,4,1569,9,335.9,0,1,
Victor Cruz,NYG,WR,25,16,7,131,82,0,0,0,3,0,1,1536,9,287.9,0,1,1
Larry Fitzgerald,ARI,WR,28,16,16,154,80,0,0,0,0,0,0,1411,8,269.1,0,0,
Steve Smith Sr.,CAR,WR,32,16,16,129,79,0,0,0,56,0,6,1394,7,264.0,0,3,2
Marshawn Lynch,SEA,RB,25,15,15,41,28,0,0,2,1204,12,285,212,1,243.6,0,3,2
Percy Harvin,MIN,WR,23,16,14,121,87,0,0,0,345,2,52,967,6,268.2,0,2,2
Michael Turner,ATL,RB,29,16,15,26,17,0,0,0,1340,11,301,168,0,229.8,0,3,2
Roddy White,ATL,WR,30,16,16,180,100,0,0,0,0,0,0,1296,8,277.6,0,0,
Eli Manning,NYG,QB,30,16,16,0,0,4933,29,589,15,1,35,0,0,280.8,16,8,4
Mike Wallace,PIT,WR,25,16,14,114,72,0,0,0,57,0,5,1193,8,243.0,0,1,1
Vincent Jackson,SDG,WR,28,16,16,115,60,0,0,0,51,0,3,1106,9,229.7,0,0,
Tony Romo,DAL,QB,31,16,16,0,0,4184,31,522,46,1,22,0,0,276.0,10,6,3
Matt Ryan,ATL,QB,26,16,16,0,0,4177,29,566,84,2,37,0,0,273.5,12,5,3
Hakeem Nicks,NYG,WR,23,15,15,133,76,0,0,0,0,0,0,1192,7,237.2,0,0,
Marques Colston,NOR,WR,28,14,7,107,80,0,0,0,0,0,0,1143,8,240.3,0,1,1
Darren Sproles,NOR,RB,28,16,4,111,86,0,0,0,603,2,87,710,7,277.3,0,0,
Adrian Peterson,MIN,RB,26,12,12,24,18,0,0,0,970,12,208,139,1,206.9,0,1,
Brandon Marshall,MIA,WR,27,16,16,141,81,0,0,0,13,0,1,1214,6,237.7,0,1,1
Aaron Hernandez,NWE,TE,22,14,12,113,79,0,0,0,45,0,5,910,7,214.5,0,1,1
Ryan Mathews,SDG,RB,24,14,14,59,50,0,0,0,1091,6,222,455,0,236.6,0,5,2
Michael Bush,OAK,RB,27,16,9,47,37,0,0,0,977,7,256,418,1,222.5,0,1,1
A.J. Green,CIN,WR,23,15,15,115,65,0,0,0,53,0,5,1057,7,218.0,0,1,
Laurent Robinson,DAL,WR,26,14,4,80,54,0,0,0,0,0,0,858,11,205.8,0,0,
Nate Washington,TEN,WR,28,16,15,121,74,0,0,0,5,1,2,1023,7,224.8,0,0,
Steven Jackson,STL,RB,28,15,15,58,42,0,0,0,1145,5,260,333,1,223.8,0,2,1
Tony Gonzalez,ATL,TE,35,16,16,116,80,0,0,0,0,0,0,875,7,209.5,0,0,
Greg Jennings,GNB,WR,28,13,13,101,67,0,0,0,0,0,0,949,9,215.9,0,0,
Julio Jones,ATL,WR,22,13,13,95,54,0,0,0,56,0,6,959,8,201.5,0,1,1
Philip Rivers,SDG,QB,30,16,16,0,0,4624,27,582,36,1,26,0,0,254.6,20,9,5
