Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Christian McCaffrey,CAR,RB,23,16,16,142,116,0,0,2,1387,15,287,1005,4,471.2,0,1,0
Lamar Jackson,BAL,QB,22,15,15,0,0,3127,36,401,1206,7,176,0,0,415.7,6,9,2
Derrick Henry,TEN,RB,25,15,15,24,18,0,0,0,1540,16,303,206,2,294.6,0,5,3
Aaron Jones,GNB,RB,25,16,16,68,49,0,0,0,1084,16,236,474,3,314.8,0,3,2
Ezekiel Elliott,DAL,RB,24,16,16,71,54,0,0,0,1357,12,301,420,2,311.7,0,3,2
Dalvin Cook,MIN,RB,24,14,14,63,53,0,0,0,1135,13,250,519,0,292.4,0,4,2
Michael Thomas,NOR,WR,26,16,15,185,149,0,0,0,-9,0,1,1725,9,374.6,0,1,0
Travis Kelce,KAN,TE,30,16,16,136,97,0,0,0,4,1,1,1229,5,254.3,0,1,1
Nick Chubb,CLE,RB,24,16,16,49,36,0,0,0,1494,8,298,278,0,255.2,0,3,3
Austin Ekeler,LAC,RB,24,16,8,108,92,0,0,0,557,3,132,993,8,309.0,0,3,2
Mark Ingram,BAL,RB,30,15,15,29,26,0,0,0,1018,10,202,247,5,242.5,0,2,2
Dak Prescott,DAL,QB,26,16,16,0,0,4902,30,596,277,3,52,0,0,337.8,11,6,2
Mark Andrews,BAL,TE,24,15,4,98,64,0,0,0,0,0,0,852,10,207.2,0,2,1
Russell Wilson,SEA,QB,31,16,16,0,0,4110,31,516,342,3,75,0,0,328.6,5,8,2
Chris Godwin,TAM,WR,23,14,14,121,86,0,0,0,8,0,1,1333,9,276.1,0,0,0
George Kittle,SFO,TE,26,14,14,107,85,0,0,0,22,0,5,1053,5,222.5,0,1,0
Deshaun Watson,HOU,QB,24,15,15,1,1,3852,26,495,413,7,82,6,1,321.0,12,10,3
Chris Carson,SEA,RB,25,15,15,47,37,0,0,0,1230,7,278,266,2,232.6,0,7,4
Darren Waller,OAK,TE,27,16,16,117,90,0,0,0,5,0,2,1145,3,221.0,0,1,1
Kenny Golladay,DET,WR,26,16,16,116,65,0,0,0,0,0,0,1190,11,248.0,0,1,1
Saquon Barkley,NYG,RB,22,13,13,73,52,0,0,0,1003,6,217,438,2,244.1,0,1,0
Zach Ertz,PHI,TE,29,15,15,135,88,0,0,0,0,0,0,916,6,215.6,0,1,1
Joe Mixon,CIN,RB,23,16,15,45,35,0,0,0,1137,5,278,287,3,225.4,0,0,0
Todd Gurley,LAR,RB,25,15,15,49,31,0,0,0,857,12,223,207,2,219.4,0,3,2
Jared Cook,NOR,TE,32,14,7,65,43,0,0,0,0,0,0,705,9,167.5,0,0,0
Cooper Kupp,LAR,WR,26,16,14,134,94,0,0,1,4,0,2,1161,10,270.5,0,3,0
Julio Jones,ATL,WR,30,15,15,157,99,0,0,0,-3,0,2,1394,6,274.1,0,1,0
DeVante Parker,MIA,WR,26,16,14,128,72,0,0,0,0,0,0,1202,9,246.2,0,0,0
Leonard Fournette,JAX,RB,24,15,15,100,76,0,0,0,1152,3,265,522,0,259.4,0,1,1
Jameis Winston,TAM,QB,25,16,16,0,0,5109,33,626,250,1,59,0,0,305.4,30,12,5
Austin Hooper,ATL,TE,25,13,10,97,75,0,0,0,0,0,0,787,6,191.7,0,0,0
Amari Cooper,DAL,WR,25,16,16,119,79,0,0,0,6,0,1,1189,8,246.5,0,0,0
Mike Evans,TAM,WR,26,13,13,118,67,0,0,0,0,0,0,1157,8,232.7,0,0,0
A.J. Brown,TEN,WR,22,16,11,84,52,0,0,0,60,1,3,1051,8,217.1,0,1,0
