Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
David Johnson,ARI,RB,25,16,16,120,80,0,0,0,1239,16,293,879,4,407.8,0,5,3
Ezekiel Elliott,DAL,RB,21,15,15,39,32,0,0,0,1631,15,322,363,1,325.4,0,5,1
Aaron Rodgers,GNB,QB,33,16,16,0,0,4428,40,610,369,4,67,0,0,380.0,7,8,4
LeSean McCoy,BUF,RB,28,15,15,57,50,0,0,0,1267,13,234,356,1,298.3,0,3,0
Le'Veon Bell,PIT,RB,24,12,12,94,75,0,0,1,1268,7,261,616,2,317.4,0,4,1
DeMarco Murray,TEN,RB,28,16,16,67,53,10,1,2,1287,9,293,377,3,293.8,0,3,1
Devonta Freeman,ATL,RB,24,16,16,65,54,0,0,0,1079,11,227,462,2,284.1,0,1,1
LeGarrette Blount,NWE,RB,30,16,8,8,7,0,0,0,1161,18,299,38,0,232.9,0,2,1
Matt Ryan,ATL,QB,31,16,16,0,0,4944,38,534,117,0,35,0,0,347.5,7,4,2
Mike Evans,TAM,WR,23,16,16,173,96,0,0,0,0,0,0,1321,12,304.1,0,0,0
Jordy Nelson,GNB,WR,31,16,16,152,97,0,0,0,0,0,0,1257,14,304.7,0,1,1
Antonio Brown,PIT,WR,28,15,15,154,106,0,0,0,9,0,3,1284,12,307.3,0,0,0
Melvin Gordon,SDG,RB,23,13,11,57,41,0,0,0,997,10,254,419,2,250.6,0,2,2
Drew Brees,NOR,QB,37,16,16,0,0,5208,37,673,20,2,23,0,0,332.3,15,5,4
Odell Beckham Jr.,NYG,WR,24,16,16,169,101,0,0,0,9,0,1,1367,10,296.6,0,3,1
Jordan Howard,CHI,RB,22,15,13,50,29,0,0,0,1313,6,252,298,1,230.1,0,2,1
Mark Ingram,NOR,RB,27,16,14,58,46,0,0,0,1043,6,205,319,4,242.2,0,2,2
T.Y. Hilton,IND,WR,27,16,16,155,91,0,0,0,0,0,0,1448,6,273.8,0,0,0
Jay Ajayi,MIA,RB,23,15,12,35,27,0,0,0,1272,8,260,151,0,215.3,0,4,1
Travis Kelce,KAN,TE,27,16,15,117,85,0,0,0,-5,0,1,1125,4,223.0,0,0,0
Julio Jones,ATL,WR,27,14,14,129,83,0,0,0,0,0,0,1409,6,259.9,0,0,0
Andrew Luck,IND,QB,27,15,15,0,0,4240,31,545,341,2,64,0,0,307.7,13,6,5
Davante Adams,GNB,WR,24,16,15,121,75,0,0,0,0,0,0,997,12,246.7,0,2,1
Brandin Cooks,NOR,WR,23,16,12,117,78,0,0,0,30,0,6,1173,8,246.3,0,1,0
Greg Olsen,CAR,TE,31,16,16,129,80,0,0,0,0,0,0,1073,3,207.3,0,0,0
Kirk Cousins,WAS,QB,28,16,16,0,0,4917,25,606,96,4,34,0,0,300.3,12,9,3
Frank Gore,IND,RB,33,16,16,47,38,0,0,0,1025,4,263,277,4,214.2,0,2,1
Kyle Rudolph,MIN,TE,27,16,16,132,83,0,0,0,0,0,0,840,7,209.0,0,0,0
Latavius Murray,OAK,RB,26,14,12,43,33,0,0,0,788,12,195,264,0,208.2,0,2,1
Michael Thomas,NOR,WR,23,15,12,121,92,0,0,0,0,0,0,1137,9,255.7,0,2,2
Jimmy Graham,SEA,TE,30,16,15,95,65,0,0,0,0,0,1,923,6,189.3,0,2,2
Delanie Walker,TEN,TE,32,15,9,102,65,0,0,0,11,0,2,800,7,188.1,0,1,0
Doug Baldwin,SEA,WR,28,16,15,125,94,15,1,1,2,0,3,1128,7,253.6,0,1,0
Tyreek Hill,KAN,WR,22,16,1,83,61,0,0,0,267,3,24,593,6,217.0,0,4,1
Isaiah Crowell,CLE,RB,23,16,16,53,40,0,0,0,952,7,198,319,0,205.1,0,2,2
Carlos Hyde,SFO,RB,26,13,13,33,27,0,0,0,988,6,217,163,3,192.1,0,5,3
Cameron Brate,TAM,TE,25,15,10,81,57,0,0,0,0,0,0,660,8,171.0,0,1,0
Dak Prescott,DAL,QB,23,16,16,0,0,3667,23,459,282,6,57,0,0,286.9,4,9,4
Martellus Bennett,NWE,TE,29,16,12,73,55,0,0,0,10,0,2,701,7,168.1,0,0,0
Michael Crabtree,OAK,WR,29,16,16,145,89,0,0,0,0,0,0,1003,8,239.3,0,2,0
Spencer Ware,KAN,RB,25,14,14,42,33,0,0,0,921,3,214,447,2,193.8,0,4,3
Amari Cooper,OAK,WR,22,16,14,132,83,0,0,0,0,0,1,1153,5,232.3,0,2,0
Lamar Miller,HOU,RB,25,14,14,39,31,0,0,0,1073,5,268,188,1,191.1,0,2,1
Tevin Coleman,ATL,RB,23,13,0,40,31,0,0,0,520,8,118,421,3,191.1,0,1,0
Tyrell Williams,SDG,WR,24,16,12,119,69,0,0,0,0,0,0,1059,7,216.9,0,0,0
Rishard Matthews,TEN,WR,27,16,9,108,65,0,0,0,0,0,0,945,9,211.5,0,1,1
Matthew Stafford,DET,QB,28,16,16,1,0,4327,24,594,207,2,37,0,0,279.8,10,3,2
Jeremy Hill,CIN,RB,24,15,13,27,21,0,0,0,839,9,222,174,0,176.3,0,0,0
Zach Ertz,PHI,TE,26,14,12,106,78,0,0,0,0,0,0,816,4,183.6,0,0,0
Todd Gurley,LAR,RB,22,16,16,58,43,0,0,0,885,6,278,327,0,198.2,0,2,1
Matt Forte,NYJ,RB,31,14,13,43,30,0,0,0,813,7,218,263,1,183.6,0,1,1
Jordan Reed,WAS,TE,26,12,8,89,66,0,0,0,0,0,0,686,6,168.6,0,1,1
Jarvis Landry,MIA,WR,24,16,16,131,94,0,0,1,17,0,5,1136,4,231.3,0,2,2
Larry Fitzgerald,ARI,WR,33,16,16,150,107,0,0,1,5,0,2,1023,6,243.8,0,2,1
Tyrod Taylor,BUF,QB,27,15,15,0,0,3023,17,436,580,6,95,0,0,270.9,6,4,2
Terrelle Pryor,CLE,WR,27,16,15,140,77,41,0,9,21,1,8,1007,4,213.4,0,1,0
Demaryius Thomas,DEN,WR,29,16,16,144,90,0,0,0,0,0,0,1083,5,226.3,0,2,2
Blake Bortles,JAX,QB,24,16,16,1,1,3905,23,625,359,3,58,20,1,271.1,16,8,6
Kelvin Benjamin,CAR,WR,25,16,13,118,63,0,0,0,0,0,0,941,7,197.1,0,1,1
Derek Carr,OAK,QB,25,15,15,0,0,3937,28,560,70,0,39,0,0,268.5,6,5,3
Antonio Gates,SDG,TE,36,14,9,93,53,0,0,0,0,0,0,548,7,147.8,0,1,1
Russell Wilson,SEA,QB,28,16,16,2,2,4219,21,546,259,1,72,14,1,270.1,11,8,2
Emmanuel Sanders,DEN,WR,29,16,16,137,79,0,0,0,4,0,1,1032,5,212.6,0,1,0
Hunter Henry,SDG,TE,22,15,10,53,36,0,0,0,0,0,0,478,8,129.8,0,1,1
Julian Edelman,NWE,WR,30,16,13,159,98,0,0,0,57,0,12,1106,3,230.3,0,3,2
Golden Tate,DET,WR,28,16,16,135,91,0,0,0,4,0,10,1077,4,223.1,0,2,1
Mike Wallace,BAL,WR,30,16,16,116,72,0,0,0,31,0,5,1017,4,202.8,0,1,0
Jamison Crowder,WAS,WR,23,16,9,99,67,0,0,0,-2,0,2,847,7,197.5,0,2,1
Dez Bryant,DAL,WR,28,13,13,96,50,10,1,1,0,0,0,796,8,180.0,0,1,1
Bilal Powell,NYJ,RB,28,16,4,74,58,0,0,0,722,3,131,388,2,197.0,0,1,1
Kenny Britt,LAR,WR,28,15,15,111,68,0,0,0,0,0,0,1002,5,196.2,0,2,1
Jonathan Stewart,CAR,RB,29,13,13,21,8,0,0,0,824,9,218,60,0,146.4,0,3,2
Kenny Stills,MIA,WR,24,16,16,81,42,0,0,0,0,0,0,726,9,168.6,0,0,0
Allen Robinson,JAX,WR,23,16,16,151,73,0,0,0,0,0,0,883,6,199.3,0,1,0
Andy Dalton,CIN,QB,29,16,16,0,0,4206,18,563,184,4,46,0,0,260.6,8,9,3
Coby Fleener,NOR,TE,28,16,8,81,50,0,0,0,2,1,1,631,3,137.3,0,2,0
Adam Thielen,MIN,WR,26,16,10,92,69,0,0,0,15,0,2,967,5,195.2,0,2,1
Terrance West,BAL,RB,25,16,13,45,34,0,0,0,774,5,193,236,1,171.0,0,2,0
Marcus Mariota,TEN,QB,23,15,15,1,0,3426,26,451,349,2,60,0,0,259.9,9,10,5
Tom Brady,NWE,QB,39,12,12,0,0,3554,28,432,64,0,28,0,0,258.6,2,5,0
Philip Rivers,SDG,QB,35,16,16,0,0,4386,33,578,35,0,14,0,0,258.9,21,9,5
Jameis Winston,TAM,QB,22,16,16,0,0,4090,28,567,165,1,53,0,0,256.1,18,10,6
Cam Newton,CAR,QB,27,15,14,0,0,3509,19,510,359,5,90,0,0,254.3,14,3,2
Ben Roethlisberger,PIT,QB,34,14,14,0,0,3819,29,509,14,1,16,0,0,252.2,13,8,2
Carson Palmer,ARI,QB,37,15,15,0,0,4233,26,597,38,0,14,0,0,243.1,14,14,4
Joe Flacco,BAL,QB,31,16,16,0,0,4317,20,672,58,2,21,0,0,242.5,15,5,3
Eli Manning,NYG,QB,35,16,16,0,0,4027,26,598,-9,0,21,0,0,224.2,16,7,4
