Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Alex Smith,KAN,QB,32,15,15,1,1,3502,15,489,134,5,48,3,0,224.8,8,7,4
Sam Bradford,MIN,QB,29,15,15,1,1,3877,20,552,53,0,20,5,0,221.9,5,10,5
Carson Wentz,PHI,QB,24,16,16,1,1,3782,16,607,150,2,46,7,0,214.0,14,14,3
Colin Kaepernick,SFO,QB,29,12,11,0,0,2241,16,331,468,2,69,0,0,200.4,4,9,3
Trevor Siemian,DEN,QB,25,14,14,0,0,3401,18,486,57,0,28,0,0,191.7,10,4,2
Ryan Tannehill,MIA,QB,28,13,13,0,0,2995,19,389,164,1,39,0,0,190.2,12,9,3
Brock Osweiler,HOU,QB,26,15,14,1,1,2957,15,510,131,2,30,-14,0,169.0,16,5,1
Ryan Fitzpatrick,NYJ,QB,34,14,11,0,0,2710,12,403,130,0,33,0,0,133.4,17,9,1
Ryan Mathews,PHI,RB,29,13,8,14,13,0,0,0,661,8,155,115,1,144.6,0,3,2
DeSean Jackson,WAS,WR,30,15,15,100,56,0,0,0,0,0,0,1005,4,180.5,0,0,0
Pierre Garcon,WAS,WR,30,16,16,114,79,0,0,0,0,0,0,1041,3,201.1,0,0,0
Brandon LaFell,CIN,WR,30,16,14,107,64,0,0,0,-2,0,1,862,6,186.0,0,0,0
Robert Kelley,WAS,RB,24,15,9,18,12,0,0,0,704,6,168,82,1,132.6,0,0,0
A.J. Green,CIN,WR,28,10,10,100,66,0,0,0,0,0,0,964,4,186.4,0,0,0
Willie Snead,NOR,WR,24,15,4,104,72,50,1,1,0,0,0,895,4,191.5,0,2,0
DeAndre Hopkins,HOU,WR,24,16,16,151,78,0,0,0,0,0,0,954,4,197.4,0,0,0
Sterling Shepard,NYG,WR,23,16,16,105,65,0,0,0,31,0,3,683,8,184.4,0,0,0
Mike Gillislee,BUF,RB,26,15,1,11,9,0,0,0,577,8,101,50,1,125.7,0,1,0
Marvin Jones,DET,WR,26,15,15,103,55,0,0,0,3,0,1,930,4,172.3,0,0,0
Marqise Lee,JAX,WR,25,16,6,105,63,20,1,1,35,0,6,851,3,178.4,0,1,1
Christine Michael,2TM,RB,26,15,7,29,22,0,0,0,583,7,148,107,1,137.0,0,2,1
Cole Beasley,DAL,WR,27,16,6,98,75,0,0,1,7,0,1,833,5,189.0,0,0,0
Steve Smith Sr.,BAL,WR,37,14,14,101,70,0,0,0,0,0,0,799,5,183.9,0,0,0
Cameron Meredith,CHI,WR,24,14,10,97,66,2,1,1,6,0,1,888,4,179.5,0,3,2
Devontae Booker,DEN,RB,24,16,6,45,31,0,0,0,612,4,174,265,1,142.7,0,4,3
Quincy Enunwa,NYJ,WR,24,16,13,105,58,0,0,0,12,0,1,857,4,168.9,0,0,0
Case Keenum,LAR,QB,28,10,9,0,0,2201,9,322,51,1,20,0,0,111.1,11,5,1
Darren Sproles,PHI,RB,33,15,5,71,52,0,0,0,438,2,94,427,2,162.5,0,1,0
Stefon Diggs,MIN,WR,23,13,11,112,84,0,0,0,10,0,3,903,3,193.3,0,0,0
Theo Riddick,DET,RB,25,10,8,67,53,0,0,0,357,1,92,371,5,161.8,0,0,0
Anquan Boldin,DET,WR,36,16,16,95,67,0,0,0,0,0,0,584,8,173.4,0,0,0
Taylor Gabriel,ATL,WR,25,13,3,50,35,0,0,0,51,1,4,579,6,140.0,0,0,0
Ted Ginn Jr.,CAR,WR,31,16,8,95,54,0,0,0,98,0,14,752,4,159.0,0,3,2
Tim Hightower,NOR,RB,30,16,1,26,22,0,0,0,548,4,133,200,1,126.8,0,0,0
Dontrelle Inman,SDG,WR,27,16,16,97,58,0,0,0,0,0,0,810,4,163.0,0,0,0
Jerick McKinnon,MIN,RB,24,15,7,53,43,0,0,1,539,2,159,255,2,148.4,0,0,0
JJ Nelson,ARI,WR,24,15,6,74,34,0,0,0,83,1,4,568,6,139.1,0,1,1
Rashad Jennings,NYG,RB,31,13,12,42,35,0,0,0,593,3,181,201,1,138.4,0,1,0
James White,NWE,RB,24,16,4,86,60,0,0,0,166,0,39,551,5,161.7,0,0,0
Chris Thompson,WAS,RB,26,16,0,62,49,0,0,0,356,3,68,349,2,147.5,0,2,1
Jordan Matthews,PHI,WR,24,14,13,117,73,0,0,0,0,0,0,804,3,171.4,0,1,0
DeVante Parker,MIA,WR,23,15,8,87,56,0,0,0,0,0,0,744,4,154.4,0,0,0
Brandon Marshall,NYJ,WR,32,15,15,128,59,0,0,0,0,0,0,788,3,155.8,0,0,0
Ty Montgomery,GNB,RB,23,15,6,56,44,0,0,0,457,3,77,348,0,140.5,0,2,1
Alshon Jeffery,CHI,WR,26,12,12,94,52,0,0,0,0,0,0,821,2,146.1,0,0,0
Derrick Henry,TEN,RB,22,15,2,15,13,0,0,0,490,5,110,137,0,105.7,0,0,0
Chris Hogan,NWE,WR,29,15,14,58,38,0,0,0,9,0,3,680,4,128.9,0,1,1
Duke Johnson,CLE,RB,23,16,1,74,53,0,0,1,358,1,73,514,0,144.2,0,2,1
Mohamed Sanu,ATL,WR,27,15,15,81,59,0,0,0,5,0,1,653,4,148.8,0,1,1
Tavon Austin,LAR,WR,26,15,15,106,58,0,0,0,159,1,28,509,3,146.8,0,5,1
Randall Cobb,GNB,WR,26,13,10,84,60,0,0,0,33,0,10,610,4,148.3,0,1,0
T.J. Yeldon,JAX,RB,23,15,13,68,50,0,0,0,465,1,130,312,1,137.7,0,2,1
C.J. Anderson,DEN,RB,25,7,7,24,16,0,0,0,437,4,110,128,1,102.5,0,0,0
Jalen Richard,OAK,RB,23,16,0,39,29,0,0,0,491,1,83,194,2,115.5,0,0,0
Jack Doyle,IND,TE,26,16,14,75,59,0,0,0,0,0,0,584,5,145.4,0,1,1
Travis Benjamin,SDG,WR,27,14,8,75,47,0,0,1,-3,0,2,677,4,132.4,0,5,3
Giovani Bernard,CIN,RB,25,10,2,51,39,0,0,0,337,2,91,336,1,122.3,0,1,1
Eric Ebron,DET,TE,23,13,13,85,61,0,0,0,1,1,1,711,1,144.2,0,0,0
Jeremy Kerley,SFO,WR,28,16,13,115,64,0,0,0,0,0,0,667,3,146.7,0,4,1
Tyler Lockett,SEA,WR,24,15,9,66,41,0,0,0,114,1,6,597,1,124.1,0,0,0
Dennis Pitta,BAL,TE,31,16,12,121,86,0,0,0,0,0,0,729,2,168.9,0,1,1
Jason Witten,DAL,TE,34,16,16,95,69,0,0,0,0,0,0,673,3,152.3,0,1,1
Robert Turbin,IND,RB,27,15,0,35,26,0,0,0,164,7,47,179,1,108.3,0,0,0
DeAngelo Williams,PIT,RB,33,9,4,27,18,0,0,0,343,4,98,118,2,100.1,0,0,0
Will Fuller,HOU,WR,22,14,13,92,47,0,0,0,-3,0,1,635,2,128.2,0,2,0
Terrance Williams,DAL,WR,27,16,15,61,44,0,0,0,0,0,0,594,4,125.4,0,1,1
Shaun Draughn,SFO,RB,29,16,1,39,29,0,0,0,196,4,74,263,2,108.9,0,1,1
C.J. Fiedorowicz,HOU,TE,25,15,15,89,54,0,0,0,0,0,0,559,4,133.9,0,1,0
Brian Hoyer,CHI,QB,31,6,5,0,0,1445,6,200,-2,0,7,0,0,79.6,0,3,1
Dwayne Allen,IND,TE,26,14,14,52,35,0,0,0,0,0,0,406,6,113.6,0,1,0
Charles Clay,BUF,TE,27,15,15,87,57,0,0,0,0,0,0,552,4,136.2,0,0,0
Michael Floyd,2TM,WR,27,15,8,76,37,0,0,0,0,0,0,488,5,115.8,0,0,0
Adam Humphries,TAM,WR,23,15,4,83,55,0,0,0,18,0,5,622,2,133.0,0,3,0
Jacquizz Rodgers,TAM,RB,26,10,5,16,13,0,0,0,560,2,129,98,0,90.8,0,0,0
Eli Rogers,PIT,WR,24,13,8,66,48,0,0,0,6,0,1,594,3,126.0,0,2,0
Cody Kessler,CLE,QB,23,9,8,0,0,1380,6,195,18,0,11,0,0,77.0,2,4,1
Gary Barnidge,CLE,TE,31,16,16,82,55,0,0,0,0,0,0,612,2,130.2,0,0,0
Chris Ivory,JAX,RB,28,11,1,28,20,0,0,0,439,3,117,186,0,94.5,0,5,3
Zach Zenner,DET,RB,25,14,4,23,18,0,0,0,334,4,88,196,0,93.0,0,1,1
Brian Quick,LAR,WR,27,16,8,77,41,0,0,0,0,0,0,564,3,115.4,0,0,0
Seth Roberts,OAK,WR,25,16,6,77,38,0,0,0,0,0,0,397,5,111.7,0,0,0
Chosen Anderson,NYJ,WR,23,16,8,78,42,0,0,0,42,0,3,587,2,114.9,0,1,1
Blaine Gabbert,SFO,QB,27,6,5,1,1,925,5,160,173,2,40,-16,0,73.7,6,0,0
Zach Miller,CHI,TE,32,10,8,64,47,0,0,0,0,0,0,486,4,119.6,0,0,0
Donte Moncrief,IND,WR,23,9,7,56,30,0,0,0,-1,0,1,307,7,102.6,0,0,0
Kenneth Dixon,BAL,RB,22,12,0,41,30,0,0,0,382,2,88,162,1,102.4,0,1,0
Rob Gronkowski,NWE,TE,27,8,6,38,25,0,0,0,0,0,0,540,3,97.0,0,0,0
Doug Martin,TAM,RB,27,8,8,16,14,0,0,0,421,3,144,134,0,85.5,0,1,1
Matt Barkley,CHI,QB,26,7,6,1,1,1611,8,216,2,0,7,2,1,71.8,14,4,2
Tyler Boyd,CIN,WR,22,16,2,81,54,0,0,0,58,0,4,603,1,124.1,0,1,1
Vernon Davis,WAS,TE,32,16,14,59,44,0,0,0,0,0,0,583,2,114.3,0,0,0
Damien Williams,MIA,RB,24,15,0,32,23,0,0,0,115,3,35,249,3,93.4,0,1,1
Tyler Eifert,CIN,TE,26,8,2,47,29,0,0,0,0,0,0,394,5,98.4,0,0,0
Cordarrelle Patterson,MIN,WR,25,16,8,70,52,0,0,0,43,0,7,453,2,119.6,0,2,0
Breshad Perriman,BAL,WR,23,16,1,66,33,0,0,0,2,0,1,499,3,101.1,0,0,0
DeAndre Washington,OAK,RB,23,14,2,23,17,0,0,0,467,2,87,115,0,85.2,0,1,1
Robert Woods,BUF,WR,24,13,10,76,51,0,0,0,6,0,1,613,1,118.9,0,0,0
Matt Jones,WAS,RB,23,7,7,8,8,0,0,0,460,3,99,73,0,75.3,0,3,2
Phillip Dorsett,IND,WR,23,15,7,59,33,0,0,0,10,0,2,528,2,98.8,0,1,0
Robert Griffin III,CLE,QB,26,5,5,0,0,886,2,147,190,2,31,0,0,66.4,3,4,1
Allen Hurns,JAX,WR,25,11,11,76,35,0,0,0,0,0,0,477,3,100.7,0,1,0
Jeremy Maclin,KAN,WR,28,12,12,76,44,0,0,1,-1,0,1,536,2,109.5,0,0,0
Charcandrick West,KAN,RB,25,15,2,34,28,0,0,0,293,1,88,188,2,94.1,0,0,0
John Brown,ARI,WR,26,15,6,73,39,0,0,0,10,0,1,517,2,103.7,0,1,0
Malcolm Mitchell,NWE,WR,24,14,6,48,32,0,0,0,0,0,0,401,4,96.1,0,0,0
Tajae Sharpe,TEN,WR,22,16,10,83,41,0,0,0,1,0,1,522,2,105.3,0,0,0
Victor Cruz,NYG,WR,30,15,12,72,39,0,0,0,0,0,0,586,1,101.6,0,1,1
Devin Funchess,CAR,WR,22,15,7,58,23,0,0,0,0,0,0,371,4,86.1,0,0,0
Vance McDonald,SFO,TE,26,11,11,45,24,0,0,0,0,0,0,391,4,87.1,0,0,0
Thomas Rawls,SEA,RB,23,9,7,17,13,0,0,0,349,3,109,96,0,75.5,0,0,0
Paul Perkins,NYG,RB,22,14,1,24,15,0,0,0,456,0,112,162,0,76.8,0,1,0
Marquise Goodwin,BUF,WR,26,15,9,68,29,0,0,0,0,0,0,431,3,90.1,0,0,0
Kendall Wright,TEN,WR,27,11,4,42,29,0,0,0,15,0,1,416,3,90.1,0,0,0
Corey Coleman,CLE,WR,22,10,10,73,33,0,0,0,10,0,2,413,3,93.3,0,0,0
Lance Kendricks,LAR,TE,28,16,16,87,50,0,0,0,0,0,0,499,2,109.9,0,1,1
Rex Burkhead,CIN,RB,26,16,1,20,17,0,0,0,344,2,74,145,0,75.9,0,1,1
Sammie Coates,PIT,WR,23,14,5,49,21,0,0,0,14,0,4,435,2,77.9,0,0,0
Jermaine Kearse,SEA,WR,26,16,15,89,41,0,0,0,0,0,0,510,1,98.0,0,0,0
Matt Moore,MIA,QB,32,4,3,0,0,721,8,87,-1,0,1,0,0,54.7,3,1,0
Eddie Royal,CHI,WR,30,9,1,43,33,0,0,0,0,0,0,369,2,87.9,0,2,0
Sammy Watkins,BUF,WR,23,8,8,52,28,0,0,0,0,0,0,430,2,83.0,0,0,0
Travaris Cadet,NOR,RB,27,15,1,54,40,0,0,0,19,0,4,281,4,94.0,0,0,0
Ryan Griffin,HOU,TE,26,16,5,74,50,0,0,0,0,0,0,442,2,104.2,0,1,1
Jeremy Langford,CHI,RB,25,12,3,27,19,0,0,0,200,4,62,142,0,73.2,0,2,2
Clive Walford,OAK,TE,25,15,8,52,33,0,0,0,0,0,0,359,3,86.9,0,0,0
Chris Conley,KAN,WR,24,16,11,69,44,0,0,0,0,0,0,530,0,97.0,0,1,0
Jared Goff,LAR,QB,22,7,7,0,0,1089,5,205,16,1,8,0,0,53.2,7,5,2
Nelson Agholor,PHI,WR,23,15,14,69,36,0,0,0,14,0,5,365,2,87.9,0,1,0
Jesse James,PIT,TE,22,16,13,60,39,0,0,0,0,0,0,338,3,90.8,0,0,0
Josh McCown,CLE,QB,37,5,3,0,0,1100,6,165,21,0,7,0,0,52.1,6,7,4
Julius Thomas,JAX,TE,28,9,6,51,30,0,0,0,0,0,0,281,4,82.1,0,0,0
Garrett Celek,SFO,TE,28,16,6,50,29,0,0,0,0,0,0,350,3,80.0,0,2,1
Dorial Green-Beckham,PHI,WR,23,15,7,74,36,0,0,0,0,0,0,392,2,87.2,0,0,0
Jermaine Gresham,ARI,TE,28,16,14,61,37,0,0,0,0,0,0,391,2,88.1,0,1,0
Albert Wilson,KAN,WR,24,16,5,51,31,0,0,0,50,1,2,279,2,81.9,0,0,0
Alfred Blue,HOU,RB,25,14,2,16,12,0,0,0,420,1,100,40,0,62.0,0,2,1
Andrew Hawkins,CLE,WR,30,16,5,54,33,0,0,0,0,0,2,324,3,83.4,0,0,0
Dion Sims,MIA,TE,25,14,11,35,26,0,0,0,0,0,0,256,4,75.6,0,0,0
Jay Cutler,CHI,QB,33,5,5,0,0,1059,4,137,24,0,5,0,0,46.8,5,6,2
Russell Shepard,TAM,WR,26,14,4,40,23,0,0,0,9,0,1,341,2,70.0,0,0,0
Wendell Smallwood,PHI,RB,22,13,3,13,6,0,0,0,312,1,77,55,0,52.7,0,1,1
Fozzy Whittaker,CAR,RB,27,16,0,33,25,0,0,0,265,0,57,226,0,72.1,0,1,1
Danny Amendola,NWE,WR,31,12,4,29,23,0,0,0,0,0,0,243,4,69.3,0,3,1
Brandon Coleman,NOR,WR,24,16,4,38,26,0,0,0,0,0,0,281,3,72.1,0,0,0
Will Tye,NYG,TE,25,16,10,70,48,0,0,0,0,0,0,395,1,93.5,0,0,0
Austin Hooper,ATL,TE,22,14,3,27,19,0,0,0,0,0,0,271,3,64.1,0,0,0
Jamize Olawale,OAK,RB,27,16,7,14,12,0,0,0,47,2,17,227,1,57.4,0,0,0
Torrey Smith,SFO,WR,27,12,12,49,20,0,0,0,0,0,0,267,3,64.7,0,0,0
Justin Hardy,ATL,WR,25,16,3,31,21,0,0,0,0,0,0,203,4,65.3,0,0,0
C.J. Prosise,SEA,RB,22,6,2,19,17,0,0,0,172,1,30,208,0,61.0,0,0,0
Charles Sims,TAM,RB,26,7,2,32,24,0,0,0,149,1,51,190,1,67.9,0,1,1
Justin Hunter,2TM,WR,25,13,5,23,10,0,0,0,0,0,0,189,4,52.9,0,0,0
Jared Cook,GNB,TE,29,10,5,51,30,0,0,0,0,0,0,377,1,71.7,0,1,1
Justin Forsett,3TM,RB,31,9,6,27,20,0,0,0,291,1,87,85,0,61.6,0,2,1
Kenyan Drake,MIA,RB,22,16,1,10,9,0,0,0,179,2,33,46,0,49.5,0,1,0
John Kuhn,NOR,RB,34,16,3,20,16,0,0,0,37,4,18,70,1,56.7,0,0,0
Quinton Patton,SFO,WR,26,14,14,63,37,0,0,0,0,0,0,408,0,77.8,0,1,0
Brice Butler,DAL,WR,26,16,3,32,16,0,0,0,0,0,0,219,3,55.9,0,0,0
James Starks,GNB,RB,30,9,4,25,19,0,0,0,145,0,63,134,2,58.9,0,1,0
Kamar Aiken,BAL,WR,27,16,6,50,29,0,0,0,0,0,0,328,1,67.8,0,0,0
Trey Burton,PHI,TE,25,15,4,60,37,0,0,0,0,0,0,327,1,75.7,0,0,0
Eddie Lacy,GNB,RB,26,5,5,7,4,0,0,0,360,0,71,28,0,42.8,0,0,0
Richard Rodgers,GNB,TE,24,16,6,47,30,0,0,0,0,0,0,271,2,69.1,0,0,0
Jacob Tamme,ATL,TE,31,8,5,31,22,0,0,0,0,0,0,210,3,61.0,0,0,0
Dwayne Washington,DET,RB,22,12,2,15,10,0,0,0,265,1,90,62,0,48.7,0,0,0
Josh Bellamy,CHI,WR,27,16,2,38,19,0,0,0,37,0,4,282,1,56.9,0,0,0
Dion Lewis,NWE,RB,26,7,5,24,17,0,0,0,283,0,64,94,0,54.7,0,1,0
Aaron Ripkowski,GNB,RB,24,16,8,10,9,0,0,0,150,2,34,46,1,46.6,0,0,0
Levine Toilolo,ATL,TE,25,16,11,19,13,0,0,0,0,0,0,264,2,51.4,0,0,0
Kyle Juszczyk,BAL,RB,25,16,7,49,37,0,0,0,22,1,5,266,0,73.8,0,0,0
Alfred Morris,DAL,RB,28,14,0,6,3,0,0,0,243,2,69,11,0,40.4,0,0,0
Ladarius Green,PIT,TE,26,6,2,34,18,0,0,0,0,0,0,304,1,54.4,0,0,0
Erik Swoope,IND,TE,24,16,4,22,15,0,0,0,0,0,0,297,1,50.7,0,0,0
Jimmy Garoppolo,NWE,QB,25,6,2,1,1,502,4,63,6,0,10,3,0,36.0,0,2,1
Cobi Hamilton,PIT,WR,26,11,8,28,17,0,0,0,0,0,0,234,2,52.4,0,0,0
Darrius Heyward-Bey,PIT,WR,29,10,0,19,6,0,0,0,60,1,1,114,2,41.4,0,0,0
Paul Richardson,SEA,WR,24,15,0,36,21,0,0,0,5,0,1,288,1,56.3,0,0,0
Andre Roberts,DET,WR,28,16,1,25,14,0,0,0,0,0,0,188,1,48.8,0,2,1
